project,package,class,method,time_green
clhernandez,cl.usach.lab1.db.DAO.rrhh,CargoDAO,eliminarCargo.(I)Z,28
phdabel,ufrgs.maslab.abstractsimulator.algorithms,KMeans,initializeCentroids.(I)V,29
yxsu,com.petuum.ps.common.util,VectorClock,getClock.(I)I,28
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMouseWheel.(III)Z,28
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,27
yxsu,com.petuum.ps.server,Server,findCreateRow.(II)Ljava/lang/Object;,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,EmployeesTableModel,getColumnName.(I)Ljava/lang/Object;,26
caseyjames,assignment9,PriorityQueueHEAP,swap.(II)V,27
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getAsistencia.(I)Ljava/lang/Object;,28
itot0103,ocha.itolab.koala.datagen.egotwitter,FeatureProcessor,addAccountClusters.(II)V,28
sheryanresutov,GameBackEnd,Game,findPlayer.(I)Ljava/lang/Object;,28
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,rootedOutTree.(I)Ljava/lang/Object;,26
shred,org.shredzone.feinrip.gui,JLabelGroup,setVerticalAlignment.(I)V,100
The-WUUSTER,-,Plausibility,indexLookup.(I)I,51
isince,com.ndsince.dictsv.Adapter,CustomAdapter,getItem.(I)Ljava/lang/Object;,27
twitter,com.twitter.http2,HttpConnection,updateAllReceiveWindowSizes.(I)V,27
Kevin-unipe,data.br,Data,setAno.(I)V,29
twitter,com.twitter.http2,HttpConnection,getSendWindowSize.(I)I,28
tkleisas,org.teacake.monolith.apk,SoundPoolManager,resumeMusic.(I)V,26
compgen-io,io.compgen.common,TallyCounts,incr.(I)V,28
clear2zero,com.ksy.media.widget,MediaPlayerView,doScreenOrientationRotate.(I)V,27
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,root.(I)I,27
srivathsarao,com.vertexnet.realestate.model.tablemodel,InstallmentsTableModel,getValueAt.(II)Ljava/lang/Object;,26
abraxasson,at.abraxas.amarino.plugins.orientation,EditActivity,getRateText.(I)Ljava/lang/Object;,26
wenjiang,com.zwb.simple.ui,SelectorDrawable,changeViewOn.(I)V,26
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenById.(I)Ljava/lang/Object;,28
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,26
juancki,com.juancarlosgomez.threeonthree,MainActivity,setCurrentFlat.(I)V,27
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,38
frigidrain,scheduler,TaskGroup,setUrgency.(I)V,27
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,hideButtons.(II)V,28
supernova-cmu,CV,CrossValidation,validate.(I)Ljava/lang/Object;,28
josinmartinez,Pruebas.LocalSearch,EightQueens,rowLessViolationsByColumn.(I)I,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,InstallmentsTableModel,getColumnClass.(I)Ljava/lang/Object;,26
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,getDepartamentoById.(I)Ljava/lang/Object;,27
luizrogeriocn,-,ListaDeCantinas,retirarEstoque.(II)V,27
Tyrtle,trevorwarner.individualgame,Brick,setBrickHealth.(I)V,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setConnectionTimeout.(I)V,27
linsonzhao,video.app.autobahn,WebSocketOptions,setSocketReceiveTimeout.(I)V,27
ricardocaldeira,controle,Con_Lote_Ezeq,setIdLote.(I)V,27
TBtomislav,jxl.biff,Type,getType.(I)Ljxl/biff/Type;,71
KenyStev,examen1labprg2,Empresa,payEmploye.(I)Z,29
TBtomislav,jxl.biff.formula,Function,getFunction.(I)Ljava/lang/Object;,29
sheryanresutov,gui,GamePanel,blockTimer.(I)V,29
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,30
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfColumns.(I)V,29
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,get.(I)I,29
Artur-,org.vaadin.artur,DayValidator,setMonth.(I)V,28
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,28
sheryanresutov,GameBackEnd,GameBoard,addCards.(I)V,29
TBtomislav,jxl.biff.drawing,ShapeType,getType.(I)Ljxl/biff/drawing/ShapeType;,42
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,remove.(I)Lcom/pfyuit/myalgorithm/datastructure/hash/HashTable$DataItem;,28
yxsu,com.petuum.ps.server,Server,clock.(II)Z,28
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,root.(I)I,27
Mandrivia,main,ProblemData,columnDist.(II)I,28
krisnaru,-,PrimeNumbers,test.(I)V,40
parthtejani,com.parthtejani.listminer,ListMiner,factorize.(I)Ljava/lang/Object;,30
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,installAugment.(I)Z,28
dezouzart,service,SmartBusca,heuristica.(IIII)I,39
double0291,com.android.volley.toolbox,ByteArrayPool,getBuf.(I)[B,28
Holmaren,ir,PostingsEntry,addOffset.(I)V,35
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItem.(I)Ljava/lang/Object;,26
Freezard,com.example.lab6.dialer,DialerView,playSound.(I)V,28
tliu17,-,DirectedMatrixGraph,getNeighbors.(I)[I,33
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,complete.(I)Ljava/lang/Object;,26
MikeLydeamore,powercrystals.core.gui.controls,Button,drawForeground.(II)V,29
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setBehindContentView.(I)V,27
MikeLydeamore,powercrystals.core.gui.controls,ListBox,drawForeground.(II)V,27
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationFinished.(II)V,26
luizrogeriocn,-,ListaDeCantinas,referenciaCadastrada.(I)Z,31
voodoodyne,org.subethamail.smtp.server,SMTPServer,setBacklog.(I)V,28
zyq001,edu.bupt.zyq,PascalsTriangle,getRow.(I)Ljava/util/List;,80
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,scaleToHeight.(I)Ljava/lang/Object;,29
harrydet,com.example.harry.wakeup.adapters,ListTaskListAdapter,deleteItem.(I)V,28
si-yao,utility,SocketService,getInstance.(I)Ljava/lang/Object;,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,remove.(I)I,32
WyattPearson,-,Board,drawBoard.(II)V,223
CMTelecom,com.cmtelecom.example.activities,RegistrationActivity,getCountryISOForCountryCode.(I)Ljava/lang/Object;,29
martincameron,ibxm,Data,ubeShort.(I)I,29
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,28
martincameron,micromod,Instrument,setFineTune.(I)V,35
TBtomislav,jxl.biff,Type,createType.(I)Ljxl/biff/Type;,29
double0291,com.dreamland.util.cache,MemoryLruCache,trimToSize.(I)V,33
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,union.(II)V,28
lorinczpatrik,tema2_TP,Simulator,generateClients.(I)Ljava/lang/Object;,28
igrief15,-,Position,unoccupy.(I)V,28
xcerox,com.libreriajRR.seguridad,CoreValidacion,isSymbol.(I)Z,27
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onScroll.(I)V,26
bradfordkyle11,com.kmbapps.classscheduler,NavigationDrawerFragment,selectItem.(I)V,28
KenyStev,-,Picture,get.(II)Ljava/awt/Color;,42
ronenfilho,com.imagery.imagerymedical,MainActivity,displayView.(I)V,27
tliu17,-,OpenHashing,getHashAddress.(II)I,32
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(II)V,26
TBtomislav,jxl.biff,FormattingRecords,getDateFormat.(I)Ljava/lang/Object;,28
eevans,SevenZip.Compression.LZMA,Decoder,SetDictionarySize.(I)Z,29
yxsu,com.petuum.ps.server,Server,init.(I)V,28
kinneyyan,com.antonyt.infiniteviewpager,MinFragmentPagerAdapter,getItem.(I)Ljava/lang/Object;,28
fbrass,de.spqr.inventorychangeapp,PartServer,changeDoorAmount.(I)Z,28
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,onConnectionSuspended.(I)V,26
MikeLydeamore,powercrystals.core.gui.controls,ListBox,getElement.(I)Ljava/lang/Object;,27
tliu17,-,DirectedMatrixGraph,areNeighbors.(II)Z,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setContentView.(I)V,27
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildId.(II)J,31
compgen-io,io.compgen.common,TallyCounts,getCount.(I)J,28
igrief15,-,Board,unoccupy.(II)V,26
di-ruan,shared,RDSWrapper,deleteCoupon.(II)Z,26
caseyjames,assignment9,PriorityQueueHEAP,percolateUp.(I)V,29
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getTier.(I)I,25
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,findViewById.(I)Ljava/lang/Object;,27
zlim,jnt.scimark2,MonteCarlo,integrate.(I)D,29
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isFactorial.(I)Z,28
fbrass,de.spqr.activitiderbysoapservice,PartServer,changeBackWindowAmount.(I)Z,27
jglewis93,com.example.jon.restroomradar,SchemaContract,getLongitude.(I)D,28
caseyjames,assignment8,HashTable,nextPrime.(I)I,27
Jumping-alien-W-and-M,jumpingalien.model,Slime,hit.(I)V,25
divinebooger,-,SortedComparableList,get.(I)Ljava/lang/Comparable;,26
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,27
dumchikov,chickens.kharkov.ua.chickens,TabsViewPagerAdapter,getItem.(I)Ljava/lang/Object;,27
zyq001,edu.bupt.zyq,CountandSay,countAndSay.(I)Ljava/lang/String;,61
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfRows.(I)V,28
flypigrmvb,kankan.wheel.widget.adapters,NumericWheelAdapter,getItemText.(I)Ljava/lang/Object;,38
igrief15,-,Board,function.(I)I,44
jordanywhite,edu.up.cs301.game,GameHumanPlayer,flash.(II)V,28
harithan81,com.lm.service,UserActivityService,renewBook.(I)Ljava/lang/Object;,26
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setVisiableHeight.(I)V,27
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,strong.(III)Ljava/lang/Object;,53
linsonzhao,video.app.com.views,ScallingImageView,setMaxWidth.(I)V,28
xianc,-,Cell,groupSolve.(IIII)V,137
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,skipBytes.(I)V,31
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,28
divinebooger,-,Calculator,multiply.(II)I,28
JsonHunt,org.apache.cordova,LinearLayoutSoftKeyboardDetect,onMeasure.(II)V,28
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,27
gpfjeff,com.gpfcomics.android.ppp,Cardset,setPasscodeLength.(I)V,27
clear2zero,com.ksy.media.widget,MediaPlayerBufferingView,setBufferingProgress.(I)V,30
jlnunn2372,bubblePopper,ScoreBoardController,setScore.(I)V,26
KenyStev,LabProgra2,Residencial,numeroDisponible.(I)Z,27
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarDepartamento.(I)Z,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,lastIndexOf.(I)I,26
igrief15,-,Board,getPos.(I)Ljava/lang/Object;,26
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,25
zhangruoxu,VC.CodeGen,Frame,push.(I)V,27
TBtomislav,jxl.write.biff,RowRecord,insertColumn.(I)V,27
sheryanresutov,GameBackEnd,Game,returnScore.(II)Ljava/lang/Object;,28
liulinru13,mmrx.com.myuserdefinedview,MainActivity,selectFragment.(I)V,26
divinebooger,-,Board,getPos.(I)Ljava/lang/Object;,26
RomanStoyko,com.storoman.app,MainActivity,onCreateDialog.(I)Ljava/lang/Object;,27
