project,package,class,method,time_green
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageScrollStateChanged.(I)V,29
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,union.(II)V,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,rotateDirectlyTo.(I)V,28
twitter,com.twitter.http2,HttpConnection,isRemoteSideClosed.(I)Z,33
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,union.(II)V,28
zyq001,edu.bupt.zyq,PascalsTriangle,getRow.(I)Ljava/util/List;,79
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItem.(I)Ljava/lang/Object;,32
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,startColourPicking.(I)V,29
sheryanresutov,gui,Card,getID.(I)I,107
Trololoshe4ki,-,Proba3,deleteVertex.(I)V,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,29
eevans,SevenZip.Compression.LZMA,Base,StateUpdateRep.(I)I,33
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setBehindContentView.(I)V,29
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getSheet.(I)Ljava/lang/Object;,27
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeCode.(II)V,32
caseyjames,assignment5,MyLinkedList,get.(I)Ljava/lang/Object;,29
abraxasson,at.abraxas.amarino.example.plugin.compass,MyEditActivity,getRateText.(I)Ljava/lang/Object;,28
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,clearMarkers.(I)V,29
voxelcarrot,io.bunnies.fractalmaps.view,FractalView,onSizeChanged.(IIII)V,29
di-ruan,shared,RDSWrapper,deleteCoupon.(II)Z,41
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,shiftHue.(I)Ljava/lang/Object;,27
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,mouseMoved.(II)Z,32
mirabon,com.artech.prototype2.tsaplin.statistics.ngrams,AbstractSingleWord,getNthWord.(I)Ljava/lang/Object;,29
supernova-cmu,CV,CrossValidation,shuffle.(I)V,30
tkleisas,org.teacake.monolith.apk,HighScoreTable,isHighScore.(I)Z,29
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setStateByMask.(I)V,31
clhernandez,cl.usach.lab1.db.DAO.rrhh,TrabajadorDAO,eliminarTrabajador.(I)Z,29
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroupId.(I)J,28
hpu-spring87,com.hpuvoice.app,ChatActivity,dotsItem.(I)Ljava/lang/Object;,35
PunchApp,com.android.volley.mock,MockHttpClient,setErrorCode.(I)V,29
stickfigure,unsuck.lang,DateUtil,birthFloor.(I)Ljava/lang/Object;,29
shred,org.shredzone.feinrip.gui,NoListSelectionModel,addSelectionInterval.(II)V,29
Rothens,hu.rothens.qlib.model,Quest,setRequest.(II)V,30
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,contains.(I)Z,28
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,28
chanueting,be.ac.ulg.montefiore.run.jahmm.learn,BaumWelchLearner,setNbIterations.(I)V,30
linsonzhao,video.app.com.views,ScallingImageView,onMeasure.(II)V,30
igrief15,-,Player,move.(I)I,31
itot0103,ocha.itolab.koala.datagen.egotwitter,FeatureProcessor,addAccountClusters.(II)V,35
compgen-io,io.compgen.common,TallyCounts,incrementKey.(I)V,31
yanxch,fizz.buzz.whizz.fizzbuzz,FizzBuzzGame,askNumber.(I)Ljava/lang/Object;,28
eevans,SevenZip.Compression.LZ,InWindow,ReduceOffsets.(I)V,29
divinebooger,huglife,StdDraw,isKeyPressed.(I)Z,91
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,rootedOutTree.(I)Ljava/lang/Object;,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitePaymentTableModel,isCellEditable.(II)Z,28
divinebooger,ngordnet,NGramMap,getRecord.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,Game,block.(I)Ljava/lang/Object;,28
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,eliminarDepartamento.(I)Z,30
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitesTableModel,getColumnName.(I)Ljava/lang/Object;,28
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,hashFunc.(I)I,41
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,findViewById.(I)Ljava/lang/Object;,37
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setBottomMargin.(I)V,28
compgen-io,io.compgen.common,TallyCounts,getCount.(I)J,29
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,compress.(I)V,34
hpu-spring87,com.hpuvoice.app,ChatActivity,isDeletePng.(I)Z,29
ey-,com.aje.logic16.app.GameLogic,GameLogic,updatePlayerAssignment.(I)V,30
sheryanresutov,gui,CardGrid,animateRemoveCard.(I)V,29
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setState.(I)V,30
jeremux,serveur,TreeImpl,getCptMessage.(I)I,29
WyattPearson,ui,DrawPanel,setSize.(II)V,106
TBtomislav,jxl.biff,Fonts,getFont.(I)Ljava/lang/Object;,31
niosus,com.learnit.learnit.activities,HomeworkActivity,removeWordFromActiveList.(I)V,36
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,act.(I)V,29
phdabel,ufrgs.maslab.abstractsimulator.algorithms,KMeans,initializeCentroids.(I)V,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readLittleEndian.(I)I,33
divinebooger,-,Board,getPos.(I)Ljava/lang/Object;,27
yojek,com.sflow.jmx,SFlowAgent,dsIndex.(I)V,28
Mandrivia,main,ProblemData,setnZ.(I)V,29
MikeLydeamore,powercrystals.core.gui.controls,Button,onMousePressed.(III)Z,29
harrisca,com.zephyrus.testapp.carletonenergyapp.app,MainActivity,setCurrentView.(I)V,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,LayoutsTableModel,getValueAt.(II)Ljava/lang/Object;,28
KenyStev,-,BinaryStdOut,writeByte.(I)V,35
TBtomislav,jxl.biff.formula,Area3d,adjustRelativeCellReferences.(II)V,30
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,stop.(I)V,32
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,update.(I)V,32
Notze,io.github.notze.redstoneswords,Events,toLevel.(II)I,55
tliu17,-,DirectedMatrixGraph,addEdge.(II)V,30
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,createSection.(I)Ljava/lang/Object;,30
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,50
clear2zero,com.ksy.media.data,MediaPlayerUtils,isFullScreenMode.(I)Z,31
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidCardNumber.(I)Z,32
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,complete.(I)Ljava/lang/Object;,29
danielsnipher,br.com.fiap.blind,MapRouteActivity,onInit.(I)V,31
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarDepartamento.(I)Z,31
caseyjames,assignment8,HashTable,isPrime.(I)Z,29
igorgatis,com.googlecode.compress_j2me.lzc,LZCStream,readCode.(I)I,29
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getProductoById.(I)Ljava/lang/Object;,28
AxelSilvestre,fr.sedara.pusher.model,Game,timerTask.(II)Ljava/lang/Object;,27
fbrass,de.spqr.activitiderbysoapservice,PartServer,changeWheelAmount.(I)Z,30
uqbar-project,com.uqbar.commons.descriptor,ClassForDescription,method4.(I)Ljava/lang/Object;,29
pfyuit,com.pfyuit.myalgorithm.datastructure.graph,PriorityQueue,trickleUp.(I)V,32
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeBits.(II)V,54
yxsu,com.petuum.ps.server,Server,findCreateRow.(II)Ljava/lang/Object;,44
kinneyyan,com.yanshi.my36kr.common.view.slidingTab,SlidingTabLayout,scrollToTab.(II)V,44
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,thresholdReached.(II)V,41
alkatena,aviones.modelo,ScoreMax,esMayorElPuntaje.(I)Z,31
zlim,jnt.scimark2,Random,initialize.(I)V,34
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetName.(I)Ljava/lang/Object;,28
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,eliminarCliente.(I)Z,28
martincameron,micromod.compiler,AudioData,setSamplingRate.(I)V,26
clrung,-,Heap,left.(I)I,26
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,ensureCapacity.(I)V,28
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,29
sheryanresutov,GameBackEnd,GameLobby,findPlayer.(I)Ljava/lang/Object;,29
divinebooger,-,Piece,move.(II)V,28
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,29
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setLayoutDirection.(I)V,31
ahielg,hebrewDate,CalendarUtils,hebrewLeapYear.(I)Z,40
markatithinkbest,tcnr18.com.finalproject,NavigationDrawerFragment,selectItem.(I)V,29
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,getValueAt.(II)Ljava/lang/Object;,27
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,add.(II)V,33
TBtomislav,jxl.write.biff,RowRecord,removeColumn.(I)V,29
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMousePressed.(III)Z,29
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItem.(I)Ljava/lang/Object;,28
nikit-cpp,player,CustomPlayer,play.(I)Z,29
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemId.(I)J,28
immlf,ua.pp.lab101.synthesizercontrol.activity.main,MainActivity,onModeSelected.(I)V,29
sheryanresutov,gui,CardGrid,removeCard.(I)V,29
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,isCellEditable.(II)Z,29
xujiabin,com.zol.backserver.util.date,DateConvertUtil,getWeekCnSn.(I)Ljava/lang/Object;,32
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,resizeTo.(II)Ljava/lang/Object;,31
divinebooger,-,StdDrawPlus,isKeyPressed.(I)Z,91
parthtejani,com.parthtejani.listminer,ListMiner,factorize.(I)Ljava/lang/Object;,30
fbrass,de.spqr.inventorychangeapp,PartServer,changeTireAmount.(I)Z,30
divinebooger,huglife,StdDraw,show.(I)V,90
alkatena,aviones.modelo,ScoreMax,actualizarPuntaje.(I)V,30
KenyStev,ChessChaturanga.Logica.Pieces,Horse,validMovement.(II)Z,34
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,SubcategoryAdapter,getCategory.(I)Ljava/lang/Object;,29
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionInterval.(II)V,29
fbrass,de.spqr.activitiderbysoapservice,PartServer,changeBackWindowAmount.(I)Z,28
divinebooger,-,Board,drawBoard.(II)V,68
divinebooger,-,ExceptionDemo,printPositiveNumber.(I)V,32
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,28
Mandrivia,main,ProblemData,columnDist.(II)I,30
nutgaard,no.utgdev.nfpa,DiamondSettingsPanel,selectByState.(II)V,40
ricardocaldeira,controle,Con_Lote_Ezeq,setIdLote.(I)V,29
TBtomislav,jxl.biff,FormattingRecords,getXFRecord.(I)Ljava/lang/Object;,29
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,isPositionHeader.(I)Z,29
KenyStev,Zero.Studio.Gato,Gato,setX.(II)V,36
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationStarted.(II)V,29
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleadoDni.(I)Ljava/lang/Object;,30
TBtomislav,jxl.biff,FormattingRecords,isDate.(I)Z,30
luizrogeriocn,-,ListaDeCantinas,getEstoqueByPort.(I)I,29
fabiuz7,edu.priceton.cs.graph,GraphGenerator,complete.(I)Ljava/lang/Object;,28
The-WUUSTER,markov,monteCarlo,indexLookup.(I)I,41
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setContentView.(I)V,28
onespot,onespot.pivotal.api.dao,ProjectMembershipsDAO,id.(I)Ljava/lang/Object;,28
divinebooger,-,Board,function.(I)I,30
CaptainSpam,net.exclaimindustries.drivelapse,DriveLapse,switchButtonStates.(I)V,30
clear2zero,com.ksy.media.widget,MediaPlayerBaseControllerView,show.(I)V,30
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,29
sheryanresutov,gui,CardGrid,removeCard.(II)V,30
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,29
martincameron,ibxm,Envelope,calculateAmpl.(I)I,39
srivathsarao,com.vertexnet.realestate.model.tablemodel,CustomersTableModel,getColumnClass.(I)Ljava/lang/Object;,46
sivang,org.kde.necessitas.origo,QtActivity,onCreateDialog.(I)Ljava/lang/Object;,44
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,43
double0291,com.android.volley.toolbox,PoolingByteArrayOutputStream,expand.(I)V,43
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,43
martincameron,ibxm,Sample,normaliseSampleIdx.(I)I,98
vcsupser,io.netty.example.portunification,PortUnificationServerHandler,isFactorial.(I)Z,43
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxMessagePayloadSize.(I)V,43
jeremux,serveur,TreeImpl,aRecu.(I)Z,42
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyDown.(I)Z,43
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadRetransRate.(I)I,41
BoBinLee,com.skhu.service,SkhuBrdService,addQnABrd.(II)Z,53
luizrogeriocn,-,ListaDeCantinas,referenciaCadastrada.(I)Z,43
WyattPearson,ui,DrawPanel,resizeImage.(II)V,112
asleepcat,org.eclipse.wb.swt,SWTResourceManager,getColor.(III)Ljava/lang/Object;,28
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,32
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItemViewType.(I)I,43
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,updateForTier.(I)V,41
lorinczpatrik,tema2_TP,Simulator,setVal.(I)V,41
supernova-cmu,CV,CrossValidationWithPruning,shuffle.(I)V,43
sheryanresutov,GameBackEnd,Game,disconnectPlayer.(I)V,39
sivang,org.kde.necessitas.origo,QtActivity,super_onCreatePanelView.(I)Ljava/lang/Object;,40
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,expand.(I)V,42
juancki,com.juancarlosgomez.threeonthree,MainActivity,setCurrentFlat.(I)V,34
divinebooger,-,ObjectList,get.(I)Ljava/lang/Object;,30
yxsu,com.petuum.ps.common.util,VectorClock,isUniqueMin.(I)Z,30
JsonHunt,org.apache.cordova,CordovaBridge,jsSetNativeToJsBridgeMode.(II)V,30
jordanywhite,edu.up.cs301.othello,OthelloState,setTurn.(I)V,30
abraxasson,at.abraxas.amarino.plugins.accelerometer,EditActivity,getRate.(I)I,31
allen-dolph,com.allendolph.f1results,NavigationDrawerFragment,selectItem.(I)V,32
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,shiftLastNToTop.(I)V,32
zhangruoxu,VC.CodeGen,Emitter,emitALOAD.(I)V,31
srivathsarao,com.vertexnet.realestate.model.tablemodel,LayoutsTableModel,getColumnName.(I)Ljava/lang/Object;,31
frigidrain,scheduler,TaskGroup,setDuration.(I)V,31
martincameron,micromod,Channel,waveform.(II)I,37
sheryanresutov,GameBackEnd,Game,onSubmit.(IIII)Ljava/lang/Object;,42
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItem.(I)Ljava/lang/Object;,41
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,44
mathewreny,com.unl.cse,Compiler,returnBinaryNumber.(II)Ljava/lang/Object;,50
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,44
CMTelecom,com.cmtelecom.example.activities,RegistrationActivity,getCountryISOForCountryCode.(I)Ljava/lang/Object;,43
caseyjames,assignment5,MyLinkedList,remove.(I)Ljava/lang/Object;,28
ey-,com.aje.logic16.app.serverApi,api,getHighScore.(I)Ljava/lang/Object;,28
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnBufferingUpdate.(I)V,28
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfRows.(I)Z,27
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,29
nwtgck,jp.dip.nwtgck.bindable.component,Arrangement,get.(I)Ljava/lang/Object;,28
divinebooger,-,GenericList,get.(I)Ljava/lang/Object;,28
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,checkTime.(III)Z,34
ronenfilho,com.imagery.imagerymedical,FullScreenViewActivity,adjustImageAspect.(II)V,33
RedingG,com.reding.qrcard,WelcomeActivity,onPageSelected.(I)V,27
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setEncoderMaxHeaderTableSize.(I)V,28
JPII,-,Bullet,increaseX.(I)V,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,installAugment.(I)Z,28
